Punto;Latitud;Longitud;Altura
P474;1089731,23;510089,52;1412,22
P475;1089727,21;510097,09;1412,17
P476;1089727,67;510097,35;1411,66
P477;1089708,57;510103,53;1414,5
P478;1089717,25;510104,5;1414,66
P479;1089719,09;510095,4;1414,64
P480;1089710,2;510095,29;1414,66
P481;1089710,51;510087,24;1414,6
P482;1089720,37;510090,09;1414,61
P483;1089722,52;510080,62;1414,56
P484;1089711,68;510081,2;1414,64
P485;1089711,04;510076,34;1414,57
P486;1089715,64;510076,46;1414,8
P487;1089719,92;510076,69;1414,7
P488;1089722,95;510076,67;1414,63
EST 5;1089719,03;510088,06;1414,63
EST4;1089710,96;510137,45;1413,84
P489;1089728,27;510097,98;1411,01
P490;1089727,06;510100,82;1411,03
P491;1089726,66;510100,57;1410,51
P492;1089726,19;510100,34;1411,03
P493;1089726,78;510101,28;1411,01
P494;1089726,34;510101,03;1410,49
P495;1089725,84;510100,99;1411,03
P496;1089725,65;510104,16;1410,99
P497;1089725,3;510104,2;1410,48
P498;1089729,65;510095,07;1411,1
P499;1089729,31;510095,01;1410,58
P500;1089728,89;510094,69;1411,08
P501;1089726,06;510093,07;1411,81
P502;1089724,13;510095,8;1411,91
P503;1089722,84;510098,98;1411,99
P504;1089727,04;510090,72;1411,84
P505;1089728,54;510088;1411,9
P506;1089732;510085,27;1411,68
P507;1089725,18;510075,29;1414,23
P508;1089729,4;510072,41;1414,05
P509;1089735,8;510068,24;1414,1
P510;1089736,97;510069,8;1414,11
P511;1089739,37;510072,72;1413,57
P512;1089735,97;510075,38;1413,72
P513;1089730,94;510080,71;1413,51
P514;1089724,05;510116,6;1412
P515;1089724,41;510116,82;1412
P516;1089723,93;510117,1;1411,91
P517;1089723,87;510114,95;1411,32
P518;1089723,39;510114,96;1410,81
P519;1089723,06;510114,89;1411,33
P520;1089723,91;510112,59;1411,27
P521;1089723,55;510112,61;1410,81
P522;1089723,08;510112,44;1411,34
P523;1089724,29;510109,79;1411,3
P524;1089723,8;510109,73;1410,8
P525;1089723,6;510109,58;1411,33
P526;1089724,99;510106,86;1411,36
P527;1089724,64;510106,47;1410,85
P528;1089724,33;510106,32;1411,34
P529;1089725,07;510123,19;1412,04
P530;1089725,97;510125,57;1412,11
P531;1089726,54;510128,89;1412,15
P532;1089726,24;510134,05;1412,25
P533;1089685,99;510139,66;1410,4
P534;1089686,19;510140,2;1410,28
P535;1089690,93;510151,58;1410,1
P536;1089686,57;510139,26;1410,41
P537;1089701,42;510140,59;1410,42
P538;1089701,66;510140,34;1410,18
P539;1089701,88;510139,99;1410,41
P540;1089704,27;510147,22;1410,34
P541;1089704,65;510146,78;1410,07
P542;1089705,1;510146,05;1410,46
P543;1089718,91;510144,05;1411,37
P544;1089723,99;510147,66;1409,76
P545;1089724,27;510147,16;1409,97
P546;1089725,97;510168,77;1409,75
P547;1089730,05;510182,49;1409,75
P548;1089730,39;510182,69;1409,59
P549;1089730,66;510182,44;1409,79
P550;1089721,45;510170,2;1410,1
P551;1089714,71;510155,96;1410,07
P553;1089700,09;510158,5;1410,06
P554;1089688,16;510115,52;1413,11
P555;1089699,69;510115,95;1413,19
P556;1089702,46;510115,06;1413,67
P557;1089704,7;510115,25;1413,68
P558;1089713,561;510165,286;1410,01
P559;1089698,897;510152,647;1410,13
P560;1089698,911;510158,42;1410,13
P561;1089704,549;510150,083;1410,32
p562;1089686,486;510113,26;
